大兴安岭	daxinganling
鹤壁	hebi
揭阳	jieyang
赣州	ganzhou
无锡	wuxi
茂名	maoming
赤峰	chifeng
湘西	xiangxi
河池	hechi
焦作	jiaozuo
西安	xian
莱州	laizhou
连云港	lianyungang
阿坝	aba
青岛	qingdao
眉山	meishan
黄南	huangnan
黔南	qiannan
泸州	luzhou
雅安	yaan
昆山	kunshan
湛江	zhanjiang
黄石	huangshi
阿勒泰	aletai
巴中	bazhong
泰安	taian
胶州	jiaozhou
南京	nanjing
新余	xinyu
濮阳	puyang
桂林	guilin
益阳	yiyang
淮北	huaibei
六盘水	liupanshui
清远	gdqingyuan
曲靖	qujing
大同	datong
三明	sanming
南昌	nanchang
云浮	yunfu
德宏	dehong
苏州	suzhou
石家庄	shijiazhuang
运城	sxyuncheng
亳州	bozhou
枣庄	zaozhuang
遵义	zunyi
安顺	anshun
承德	chengde
常州	changzhou
和田	hetian
江门	jiangmen
吕梁	lvliang
保定	baoding
锡林郭勒	xilinguole
宁波	ningbo
渭南	weinan
临夏	linxia
宣城	xuancheng
安阳	anyang
白城	baicheng
湖州	huzhou
北海	beihai
金坛	jintan
商丘	shangqiu
扬州	yangzhou
玉树	yushu
巢湖	chaohu
胶南	jiaonan
宜春	jxyichun
河源	heyuan
汕尾	shanwei
江阴	jiangyin
汉中	hanzhong
晋城	jincheng
孝感	xiaogan
山南	shannan
鞍山	anshan
肇庆	zhaoqing
甘南	hljgannan
厦门	xiamen
七台河	qitaihe
蚌埠	bangbu
莆田	putian
芜湖	wuhu
富阳	zjfuyang
本溪	benxi
贵港	guigang
东营	dongying
上饶	shangrao
文登	wendeng
郑州	zhengzhou
佛山	foshan
乐山	leshan
怀化	huaihua
海东	haidong
景德镇	jingdezhen
瓦房店	wafangdian
通辽	tongliao
齐齐哈尔	qiqihaer
绥化	suihua
阿里	ali
三亚	sanya
南充	nanchong
北京	beijing
德州	dezhou
邢台	xingtai
楚雄	chuxiong
泉州	quanzhou
黄山	huangshan
株洲	zhuzhou
大庆	daqing
陇南	longnan
玉林	guangxiyulin
鹰潭	yingtan
三门峡	sanmenxia
绍兴	shaoxing
南宁	nanning
银川	yinchuan
徐州	xuzhou
金昌	jinchang
朝阳	chaoyang
舟山	zhoushan
广安	guangan
鹤岗	hegang
即墨	jimo
乌鲁木齐	wulumuqi
镇江	zhenjiang
寿光	shouguang
乳山	rushan
泰州	jstaizhou
克州	kezhou
周口	zhoukou
黄冈	huanggang
嘉峪关	jiayuguan
九江	jiujiang
绵阳	mianyang
营口	yingkou
宜昌	yichang
阜新	fuxin
平顶山	pingdingshan
上海	shanghai
吉林	jilin
锦州	jinzhou
铜陵	tongling
杭州	hangzhou
马鞍山	maanshan
宿州	anhuisuzhou
来宾	laibin
招远	sdzhaoyuan
榆林	yulin
太原	taiyuan
哈尔滨	haerbin
黔西南	qianxinan
贺州	hezhou
潍坊	weifang
定西	dingxi
滁州	chuzhou
海南	hainan
长春	changchun
铁岭	tieling
林芝	linzhi
东莞	dongguang
文山	wenshan
昆明	kunming
阿拉善盟	alashanmeng
安康	ankang
喀什	kashi
呼和浩特	huhehaote
衡水	hengshui
十堰	shiyan
阿克苏	akesu
鄂州	ezhou
娄底	loudi
抚顺	fushun
淄博	zibo
柳州	liuzhou
宝鸡	baoji
忻州	xinzhou
嘉兴	jiaxing
吴江	wujiang
固原	nxguyuan
济南	jinan
那曲	naqu
郴州	chenzhou
蓬莱	penglai
张家港	zhangjiagang
福州	fujianfuzhou
莱芜	laiwu
海北	haibei
武威	wuwei
延边	yanbian
普洱	puer
呼伦贝尔	hulunbeier
义乌	yiwu
昭通	zhaotong
凉山	liangshan
二连浩特	erlianhaote
宜宾	yibin
钦州	gxqinzhou
六安	liuan
汕头	shantou
库尔勒	kuerle
衢州	quzhou
乌海	wuhai
五家渠	wujiaqu
岳阳	yueyang
朔州	shuozhou
海门	haimen
铜仁	tongren
重庆	chongqing
秦皇岛	qinhuangdao
韶关	shaoguan
深圳	shenzhen
牡丹江	mudanjiang
龙岩	longyan
西宁	xining
怒江	nujiang
广元	guangyuan
梅州	meizhou
济宁	sdjining
德阳	deyang
西双版纳	xishuangbanna
张家口	zhangjiakou
合肥	hefei
白银	baiyin
荆州	jingzhou
阳江	yangjiang
果洛	guolv
广州	guangzhou
南阳	nanyang
衡阳	hengyang
南平	nanping
临汾	linfen
萍乡	pingxiang
商洛	shanglv
武汉	wuhan
贵阳	guiyang
克拉玛依	kelamayi
鸡西	jixi
漯河	luohe
甘孜	ganzi
吉安	jian
临安	linan
沈阳	shenyang
溧阳	liyang
张家界	zhangjiajie
漳州	zhangzhou
防城港	fangchenggang
白山	baishan
平凉	pingliang
滨州	binzhou
甘南	gannan
伊春	yichun
洛阳	lvyang
临沂	linyi
巴彦淖尔	bayannaoer
荆门	jingmen
台州	taizhou
珠海	zhuhai
咸阳	xianyang
成都	chengdu
丽江	lijiang
廊坊	langfang
淮南	huainan
新乡	xinxiang
丹东	dandong
天水	tianshui
咸宁	xianning
莱西	laixi
延安	yanan
双鸭山	shuangyashan
中山	zhongshan
盘锦	panjin
中卫	zhongwei
太仓	taicang
资阳	ziyang
淮安	huaian
常熟	changshu
铜川	tongchuan
海口	haikou
抚州	fuzhou
温州	wenzhou
安庆	anqing
葫芦岛	huludao
天津	tianjin
聊城	liaocheng
保山	baoshan
大理	dali
荣成	sdrongcheng
海西	haixi
晋中	jinzhong
红河	honghe
威海	weihai
拉萨	lasa
驻马店	zhumadian
哈密	hami
宜兴	yixing
邵阳	shaoyang
惠州	huizhou
平度	pingdu
四平	siping
信阳	xinyang
松原	songyuan
思茅	simao
迪庆	diqing
吐鲁番	tulufan
包头	baotou
黔东南	qiandongnan
攀枝花	panzhihua
内江	neijiang
阳泉	yangquan
崇左	chongzuo
盐城	yancheng
菏泽	heze
永州	yongzhou
沧州	cangzhou
金华	jinhua
庆阳	gsqingyang
张掖	zhangye
石嘴山	shizuishan
酒泉	jiuquan
通化	tonghua
辽阳	liaoyang
随州	suizhou
日喀则	rikaze
南通	nantong
辽源	liaoyuan
昌都	changdu
日照	rizhao
唐山	tangshan
邯郸	handan
毕节	bijie
塔城	tacheng
长沙	changsha
丽水	lishui
长治	changzhi
梧州	wuzhou
自贡	zigong
兴安盟	xinganmeng
宿迁	suqian
宁德	ningde
临沧	lincang
许昌	xuchang
博州	xjbozhou
句容	jurong
常德	changde
玉溪	yuxi
大连	dalian
恩施	enshi
湘潭	xiangtan
潮州	chaozhou
开封	kaifeng
兰州	lanzhou
吴忠	wuzhong
鄂尔多斯	eerduosi
石河子	shihezi
阜阳	fuyang
烟台	yantai
黑河	heihe
达州	dazhou
襄阳	xiangyang
章丘	zhangqiu
遂宁	scsuining
佳木斯	jiamusi
池州	chizhou
昌吉	changji
