city,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
taizhou,2019-09-01,优,28,72,16,26,4,15,0.59,69
taizhou,2019-09-02,优,18,22,9,16,4,16,0.56,49
taizhou,2019-09-03,优,19,10,7,14,5,12,0.49,58
taizhou,2019-09-04,优,20,21,9,19,5,12,0.43,40
taizhou,2019-09-05,优,17,7,6,17,4,9,0.38,23
taizhou,2019-09-06,优,16,12,7,15,3,9,0.36,32
taizhou,2019-09-07,优,39,113,17,38,4,17,0.49,71
taizhou,2019-09-08,优,50,158,26,44,4,15,0.55,117
taizhou,2019-09-09,优,46,182,26,43,4,13,0.59,110
taizhou,2019-09-10,优,38,172,23,36,4,12,0.50,90
taizhou,2019-09-11,优,34,173,17,34,4,13,0.44,73
taizhou,2019-09-12,优,39,190,19,39,3,10,0.46,91
taizhou,2019-09-13,优,47,248,27,46,3,12,0.58,109
taizhou,2019-09-14,优,34,165,16,31,3,9,0.56,98
taizhou,2019-09-15,优,34,139,17,33,3,11,0.60,95
taizhou,2019-09-16,优,37,143,12,31,4,11,0.63,118
taizhou,2019-09-17,优,43,172,22,43,3,13,0.66,120
taizhou,2019-09-18,优,36,137,13,34,3,10,0.47,111
taizhou,2019-09-19,优,38,133,10,37,3,9,0.33,105
taizhou,2019-09-20,优,38,115,13,37,3,11,0.25,112
taizhou,2019-09-21,优,34,81,13,32,3,11,0.30,96
taizhou,2019-09-22,优,30,37,8,25,3,10,0.30,89
taizhou,2019-09-23,优,47,126,21,48,4,16,0.48,111
taizhou,2019-09-24,良,58,186,27,54,5,23,0.46,128
taizhou,2019-09-25,良,72,268,40,71,5,23,0.61,141
taizhou,2019-09-26,良,63,217,35,63,5,21,0.58,123
taizhou,2019-09-27,优,42,58,21,41,4,20,0.38,92
taizhou,2019-09-28,优,49,75,27,49,4,17,0.41,123
taizhou,2019-09-29,良,57,144,36,62,4,20,0.50,109
taizhou,2019-09-30,良,52,108,33,55,4,19,0.48,103
